album,phonetic_entropy,song,lexical_entropy,first_person_rate,phonetic_repetition_rate,repetition_rate,line_end_similarity,second_person_rate,artist,third_person_rate
thank_you_happy_birthday,3.4065033556239612,indy_kidz,5.7086,91.954,0.48148148148148145,0.2222,0.4074,40.23,cage_the_elephant,5.747
thank_you_happy_birthday,3.7248747399889837,japanese_buffalo,6.0737,16.064,0.625,0.4167,0.5833,48.193,cage_the_elephant,4.016
thank_you_happy_birthday,2.9779206033342254,right_before_my_eyes,5.8986,118.143,0.7560975609756098,0.4878,0.7073,4.219,cage_the_elephant,4.219
thank_you_happy_birthday,2.8709505944546687,rubber_ball,5.7986,63.83,0.55,0.4,0.5,0.0,cage_the_elephant,7.092
thank_you_happy_birthday,2.0447703435051716,sabertooth_tiger,5.1241,0.0,0.8148148148148148,0.5926,0.7407,57.762,cage_the_elephant,14.44
thank_you_happy_birthday,3.1700656845485624,sell_yourself,5.671,58.419,0.74,0.54,0.66,54.983,cage_the_elephant,0.0
thank_you_happy_birthday,3.6270941213836965,shake_me_down,6.0635,64.885,0.5151515151515151,0.3333,0.4848,0.0,cage_the_elephant,7.634
dreamland,3.8797322990860357,domestic_bliss,6.2346,118.541,0.6666666666666666,0.5,0.5833,63.83,glass_animals,36.474
dreamland,3.2636399122082125,dreamland,5.9859,0.0,0.5,0.375,0.4375,130.597,glass_animals,3.731
dreamland,3.827477917103411,heat_waves,6.0536,79.327,0.640625,0.5,0.5625,76.923,glass_animals,0.0
dreamland,4.2626923908396215,helium,6.4628,87.912,0.13043478260869565,0.0417,0.125,32.967,glass_animals,16.484
dreamland,3.6224869632623986,hot_sugar,5.5791,40.161,0.6037735849056604,0.5185,0.6111,68.273,glass_animals,0.0
dreamland,3.8871987351738495,its_all_so_incredibly_loud,5.8156,80.537,0.40625,0.3529,0.4412,53.691,glass_animals,0.0
dreamland,3.3131977956233416,i_dont_wanna_talk,5.8413,98.191,0.6818181818181818,0.5455,0.6364,41.344,glass_animals,2.584
dreamland,4.0559581516151235,melon_and_the_coconut,6.6319,54.054,0.21739130434782608,0.0,0.0417,48.649,glass_animals,0.0
dreamland,4.243300368538958,space_ghost_coast_to_coast,6.7269,29.9,0.4318181818181818,0.25,0.3542,106.312,glass_animals,6.645
dreamland,3.807480585101143,tangerine,6.279,99.502,0.6567164179104478,0.4366,0.5775,94.527,glass_animals,0.0
dreamland,3.8523342098503726,tokyo_drifting,6.397,30.075,0.6078431372549019,0.3137,0.4902,65.163,glass_animals,12.531
dreamland,4.433634982148036,waterfalls_coming_out_your_mouth,6.6478,33.816,0.38095238095238093,0.1591,0.2273,86.957,glass_animals,0.0
dreamland,3.930311596365163,your_love,6.0874,93.75,0.6521739130434783,0.4789,0.5915,153.409,glass_animals,0.0
how_to_be_a_human_being,4.248495255525411,agnes,6.4543,41.451,0.36363636363636365,0.1176,0.2353,82.902,glass_animals,0.0
how_to_be_a_human_being,3.088456377350588,cane_shuga,5.1022,17.094,0.5416666666666666,0.4583,0.4583,68.376,glass_animals,0.0
how_to_be_a_human_being,3.127478486418822,life_itself,5.5035,115.625,0.6818181818181818,0.6136,0.6591,0.0,glass_animals,15.625
how_to_be_a_human_being,4.137841000858057,mamas_gun,6.1174,105.263,0.48717948717948717,0.15,0.3,40.936,glass_animals,46.784
how_to_be_a_human_being,3.977567157116929,poplar_st,6.3036,85.02,0.55,0.325,0.5,16.194,glass_animals,28.34
how_to_be_a_human_being,3.1723991045564555,pork_soda,6.3172,100.89,0.6730769230769231,0.3269,0.4038,59.347,glass_animals,2.967
how_to_be_a_human_being,3.916126946588284,premade_sandwiches,6.3404,0.0,0.23809523809523808,0.0,0.125,11.628,glass_animals,29.07
how_to_be_a_human_being,4.317031495157584,season_2_episode_3,6.383,96.774,0.5535714285714286,0.3571,0.5179,50.179,glass_animals,3.584
how_to_be_a_human_being,4.2430101595548555,take_a_slice,6.4417,90.517,0.34285714285714286,0.2222,0.3056,30.172,glass_animals,0.0
how_to_be_a_human_being,4.356358371799657,the_other_side_of_paradise,6.8128,96.045,0.49019607843137253,0.2182,0.3091,31.073,glass_animals,28.249
how_to_be_a_human_being,3.911845315026195,youth,5.8299,52.239,0.6086956521739131,0.5306,0.6122,134.328,glass_animals,0.0
ilysfm,4.402172105384135,a_tear_in_space,6.1353,79.31,0.49056603773584906,0.2642,0.4151,100.0,glass_animals,0.0
ilysfm,3.739365726713981,creatures_in_heaven,6.3033,84.337,0.7205882352941176,0.4412,0.6471,64.257,glass_animals,4.016
ilysfm,4.695480497005644,how_i_learned_to_love_the_bomb,6.4353,53.191,0.5862068965517241,0.4831,0.5169,87.234,glass_animals,2.128
ilysfm,4.290979931697137,i_cant_make_you_fall_in_love_again,6.2377,86.957,0.5967741935483871,0.4194,0.5484,104.348,glass_animals,2.899
ilysfm,3.849445780134189,lost_in_the_ocean,6.0356,97.187,0.6111111111111112,0.5185,0.5926,71.611,glass_animals,2.558
ilysfm,3.70123139980293,on_the_run,5.0705,60.0,0.6119402985074627,0.4179,0.5373,10.0,glass_animals,1.667
ilysfm,4.4480015041730985,show_pony,6.8379,10.142,0.5161290322580645,0.3636,0.4697,77.079,glass_animals,32.454
ilysfm,4.341310040533735,whatthehellishappening,6.3186,132.565,0.3333333333333333,0.2292,0.3125,5.764,glass_animals,0.0
ilysfm,4.433637490722565,white_roses,6.3971,94.298,0.5921052631578947,0.4342,0.5263,52.632,glass_animals,2.193
ilysfm,4.349246865019507,wonderful_nothing,7.0393,82.852,0.5733333333333334,0.2468,0.4416,88.632,glass_animals,0.0
zaba,4.258171939471839,black_mambo,5.8669,5.882,0.5,0.38,0.44,94.118,glass_animals,35.294
zaba,4.241729296672175,cocoa_hooves,6.1195,19.048,0.34375,0.1515,0.2727,142.857,glass_animals,14.286
zaba,3.6739738004091285,flip,6.0315,158.416,0.5405405405405406,0.3243,0.5135,39.604,glass_animals,6.601
zaba,4.102078406900582,gooey,6.3355,128.049,0.475,0.35,0.425,39.634,glass_animals,3.049
zaba,3.4594911601991534,hazey,5.446,120.567,0.46153846153846156,0.25,0.4286,177.305,glass_animals,0.0
zaba,3.141403067826855,pools,5.8241,143.603,0.7090909090909091,0.4821,0.625,46.997,glass_animals,2.611
zaba,4.1878497020561545,toes,6.1383,144.531,0.5510204081632653,0.3469,0.4694,23.438,glass_animals,3.906
zaba,3.936180434129755,walla_walla,6.3691,87.302,0.2608695652173913,0.0,0.2174,47.619,glass_animals,15.873
zaba,4.302753141601364,wyrd,6.298,35.294,0.4772727272727273,0.3409,0.4318,86.275,glass_animals,3.922
badlands,2.6173574033491644,castle,5.9945,70.312,0.7948717948717948,0.6585,0.7805,5.208,halsey,20.833
badlands,2.9100902144548515,colors,6.1752,33.52,0.7796610169491526,0.5763,0.7119,81.006,halsey,64.246
badlands,1.5487949406953985,colors_pt_2,4.0241,24.39,0.5,0.3,0.4,73.171,halsey,0.0
badlands,3.55412832340365,coming_down,5.5548,67.183,0.7058823529411765,0.5735,0.6618,0.0,halsey,38.76
badlands,3.797384410949979,control,6.2613,161.29,0.6226415094339622,0.4528,0.5472,25.806,halsey,22.581
badlands,3.9375,drive,5.9909,60.748,0.4375,0.303,0.3636,23.364,halsey,0.0
badlands,2.9056390622295662,gasoline,6.1389,88.235,0.6875,0.3438,0.6875,77.206,halsey,0.0
badlands,3.7372853115732667,ghost,6.0582,141.176,0.5909090909090909,0.3864,0.5227,98.039,halsey,11.765
badlands,2.9594417871190513,haunting,5.8004,138.462,0.7073170731707317,0.4634,0.6829,104.615,halsey,3.077
badlands,3.1817581394931316,hold_me_down,5.7464,206.128,0.7446808510638298,0.6,0.72,0.0,halsey,25.07
badlands,3.9375,hurricane,5.9909,60.748,0.4375,0.303,0.3636,23.364,halsey,0.0
badlands,1.8498687225851778,i_walk_the_line,5.2776,202.797,0.7058823529411765,0.4118,0.5882,90.909,halsey,0.0
badlands,2.9524625102252533,new_americana,5.9283,0.0,0.6129032258064516,0.375,0.4688,11.583,halsey,27.027
badlands,4.296076359493551,roman_holiday,6.4146,41.916,0.5818181818181818,0.4,0.5455,23.952,halsey,2.994
badlands,3.7115011588096554,strange_love,6.1583,60.166,0.6666666666666666,0.537,0.6111,58.091,halsey,22.822
badlands,3.616874605956222,young_god,5.9291,31.746,0.5882352941176471,0.4412,0.5,50.794,halsey,6.349
hopeless_fountain_kingdom,3.30591191284399,100_letters,5.9267,125.0,0.7037037037037037,0.6,0.6727,22.059,halsey,44.118
hopeless_fountain_kingdom,4.198512523664096,alone,5.9193,181.579,0.5909090909090909,0.3788,0.5231,84.211,halsey,26.316
hopeless_fountain_kingdom,3.1992933358804216,angel_on_fire,5.7329,132.948,0.6153846153846154,0.359,0.5897,37.572,halsey,5.78
hopeless_fountain_kingdom,4.325637329985181,bad_at_love,6.3776,133.333,0.543859649122807,0.4127,0.5397,49.383,halsey,27.16
hopeless_fountain_kingdom,2.519016384917957,devil_in_me,4.7826,128.415,0.8225806451612904,0.6935,0.8065,19.126,halsey,0.0
hopeless_fountain_kingdom,3.467721661527313,dont_play,5.8779,100.629,0.7241379310344828,0.5167,0.6167,9.434,halsey,0.0
hopeless_fountain_kingdom,2.0082830028884224,eyes_closed,5.6055,128.319,0.7741935483870968,0.4194,0.6774,79.646,halsey,44.248
hopeless_fountain_kingdom,2.8138461086383844,good_mourning,5.189,38.217,0.4117647058823529,0.3529,0.3529,0.0,halsey,25.478
hopeless_fountain_kingdom,2.5476581564979375,heaven_in_hiding,5.8309,67.265,0.8245614035087719,0.4915,0.678,85.202,halsey,0.0
hopeless_fountain_kingdom,3.5622827809058584,hopeless,5.9421,69.853,0.6666666666666666,0.451,0.6471,47.794,halsey,3.676
hopeless_fountain_kingdom,3.265246528378741,lie,6.3477,102.679,0.5833333333333334,0.1622,0.3514,80.357,halsey,17.857
hopeless_fountain_kingdom,3.593106488681372,now_or_never,5.6346,98.624,0.75,0.3906,0.7656,66.514,halsey,0.0
hopeless_fountain_kingdom,3.1401689836690365,sorry,5.9027,106.583,0.7321428571428571,0.5,0.6786,72.1,halsey,0.0
hopeless_fountain_kingdom,3.450230960509787,strangers,5.9332,82.237,0.6666666666666666,0.4286,0.619,32.895,halsey,19.737
hopeless_fountain_kingdom,3.0453010864917958,the_prologue,6.4584,24.096,0.5217391304347826,0.1304,0.2609,6.024,halsey,36.145
hopeless_fountain_kingdom,3.6175569056133225,walls_could_talk,6.0394,48.246,0.6046511627906976,0.3953,0.4884,39.474,halsey,4.386
if_i_cant_have_love_i_want_power,3.2661704035459813,1121,5.7741,168.385,0.7045454545454546,0.3636,0.5227,85.911,halsey,0.0
if_i_cant_have_love_i_want_power,3.5999493784690277,bells_in_santa_fe,6.0389,87.879,0.7049180327868853,0.541,0.6557,33.333,halsey,3.03
if_i_cant_have_love_i_want_power,4.009134590379753,darling,6.6214,68.345,0.5128205128205128,0.275,0.525,64.748,halsey,14.388
if_i_cant_have_love_i_want_power,3.6669917200103637,easier_than_lying,5.9833,87.5,0.627906976744186,0.3488,0.5581,106.25,halsey,0.0
if_i_cant_have_love_i_want_power,3.8521442477402643,girl_is_a_gun,6.4581,93.333,0.6379310344827587,0.3966,0.5517,58.667,halsey,0.0
if_i_cant_have_love_i_want_power,3.978477613596087,honey,6.1559,103.448,0.6545454545454545,0.3818,0.5818,2.874,halsey,54.598
if_i_cant_have_love_i_want_power,3.51511863066858,i_am_not_a_woman_im_a_god,5.6308,182.432,0.7368421052631579,0.4561,0.6296,20.27,halsey,0.0
if_i_cant_have_love_i_want_power,3.8451603476359115,lilith,6.0116,138.028,0.6481481481481481,0.2909,0.5636,73.239,halsey,2.817
if_i_cant_have_love_i_want_power,4.293657470283998,nightmare,6.4304,171.756,0.6,0.4167,0.5667,13.359,halsey,11.45
if_i_cant_have_love_i_want_power,4.1832574754853535,the_lighthouse,6.2256,76.233,0.5555555555555556,0.3889,0.4815,22.422,halsey,33.632
if_i_cant_have_love_i_want_power,3.542748326446118,the_tradition,5.7543,3.096,0.7580645161290323,0.629,0.7419,83.591,halsey,46.44
if_i_cant_have_love_i_want_power,4.098164871139057,whispers,6.2706,75.472,0.6271186440677966,0.2333,0.5333,94.34,halsey,35.04
if_i_cant_have_love_i_want_power,3.9077148025974386,yaaburnee,6.559,116.197,0.42857142857142855,0.1143,0.4571,66.901,halsey,0.0
if_i_cant_have_love_i_want_power,3.7424117317819636,you_asked_for_this,6.0835,71.918,0.5681818181818182,0.3864,0.5,71.918,halsey,0.0
manic,4.100178905543853,3am,6.3321,105.802,0.691358024691358,0.4198,0.6173,5.119,halsey,5.119
manic,4.294646363420181,929,6.9278,116.505,0.4666666666666667,0.0612,0.3125,33.981,halsey,14.563
manic,3.7218449051368365,alanis_interlude,5.9301,68.966,0.6808510638297872,0.5532,0.617,17.241,halsey,117.241
manic,4.519999987133628,ashley,6.7162,125.954,0.2972972972972973,0.027,0.2162,19.084,halsey,7.634
manic,3.3656346302420435,clementine,5.8833,145.503,0.5833333333333334,0.2432,0.3784,31.746,halsey,0.0
manic,3.0930692077718898,dominics_interlude,5.922,8.929,0.2857142857142857,0.0,0.2857,116.071,halsey,53.571
manic,4.124613375544554,finally_beautiful_stranger,6.3441,133.333,0.5333333333333333,0.2,0.4,40.58,halsey,2.899
manic,4.026986833359287,forever_is_a_long_time,6.5254,82.803,0.3076923076923077,0.0385,0.2308,6.369,halsey,19.108
manic,4.044746204593989,graveyard,5.7983,132.432,0.6206896551724138,0.4655,0.5345,72.973,halsey,5.405
manic,3.0551923157430316,im_not_mad,5.746,160.976,0.7735849056603774,0.434,0.6604,121.951,halsey,0.0
manic,2.738269198295728,i_hate_everybody,6.1201,171.93,0.7209302325581395,0.2326,0.6047,14.035,halsey,3.509
manic,3.4291526372734094,killing_boys,5.9873,117.188,0.5454545454545454,0.2424,0.4242,62.5,halsey,7.812
manic,2.7312702546075758,more,6.0188,104.651,0.6136363636363636,0.25,0.5,96.899,halsey,11.628
manic,4.173135020715878,still_learning,5.6696,202.02,0.5849056603773585,0.3396,0.5094,12.626,halsey,0.0
manic,3.8209505944546684,suga_interlude,6.452,68.182,0.55,0.2381,0.4524,22.727,halsey,0.0
manic,2.921192131632841,wipe_your_tears,5.732,78.534,0.6296296296296297,0.4815,0.5185,83.77,halsey,52.356
manic,3.3510766076898424,without_me,6.1105,116.972,0.6730769230769231,0.463,0.6481,103.211,halsey,6.881
manic,3.7191001995205157,you_should_be_sad,6.2183,81.841,0.6885245901639344,0.4098,0.6393,109.974,halsey,5.115
the_great_impersonator,3.916430417232285,arsonist,6.631,68.878,0.5434782608695652,0.2174,0.3696,86.735,halsey,12.755
the_great_impersonator,3.655045546825804,darwinism,6.5269,111.57,0.42857142857142855,0.1071,0.2857,24.793,halsey,12.397
the_great_impersonator,4.14648652258436,dog_years,6.4375,140.162,0.5319148936170213,0.3191,0.4468,16.173,halsey,10.782
the_great_impersonator,3.7396683159536606,ego,6.6191,175.644,0.6785714285714286,0.3333,0.5965,2.342,halsey,0.0
the_great_impersonator,3.5814447879326106,hometown,6.68,47.337,0.5172413793103449,0.2069,0.3793,5.917,halsey,20.71
the_great_impersonator,4.164533312973134,hurt_feelings,6.887,92.511,0.5102040816326531,0.2857,0.3878,24.229,halsey,37.445
the_great_impersonator,3.5722855317162576,i_believe_in_magic,6.63,147.287,0.6222222222222222,0.1304,0.4348,10.336,halsey,41.344
the_great_impersonator,3.3280951726543564,i_never_loved_you,6.5299,56.931,0.6382978723404256,0.3333,0.5208,91.584,halsey,32.178
the_great_impersonator,3.9735572622751856,letter_to_god,6.1446,92.166,0.4,0.1333,0.3667,0.0,halsey,78.341
the_great_impersonator,3.2219280948873625,letter_to_god_1983,6.1657,134.328,0.45,0.1,0.35,14.925,halsey,9.95
the_great_impersonator,3.22327156596545,letter_to_god_1998,6.4214,118.852,0.5384615384615384,0.2222,0.3704,40.984,halsey,12.295
the_great_impersonator,4.735362370366207,life_of_the_spider,6.7301,151.125,0.2926829268292683,0.0,0.1463,51.447,halsey,3.215
